FBgn,logFC_edgeR,qval_edgeR,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0032884,0.00510550775128687,0.982394262143529,-0.00731259523009697,1,FALSE,FALSE,FALSE,ns_both,-0.012418102981383839,0.012418102981383839
FBgn0037443,0.0115765740462448,0.953201376638992,-7.94347242926748e-4,1,FALSE,FALSE,FALSE,ns_both,-0.012370921289171548,0.012370921289171548
FBgn0038926,0.0118166784398371,0.938033058048282,-5.11130403301729e-4,1,FALSE,FALSE,FALSE,ns_both,-0.012327808843138829,0.012327808843138829
FBgn0033504,0.00647439251820875,0.98142519951548,-0.00581215954057803,1,FALSE,FALSE,FALSE,ns_both,-0.01228655205878678,0.01228655205878678
FBgn0086442,0.00132928415975393,0.993327682211691,-0.0109078546135575,1,FALSE,FALSE,FALSE,ns_both,-0.01223713877331143,0.01223713877331143
FBgn0005427,0.00748021601193552,0.959007254809532,-0.00468736562563794,1,FALSE,FALSE,FALSE,ns_both,-0.01216758163757346,0.01216758163757346
FBgn0035028,0.00669411358541278,0.970369434898427,-0.00491399208480008,1,FALSE,FALSE,FALSE,ns_both,-0.01160810567021286,0.01160810567021286
FBgn0035440,0.00779525479890765,0.973567807681135,-0.00336588732377355,1,FALSE,FALSE,FALSE,ns_both,-0.011161142122681201,0.011161142122681201
FBgn0040718,0.0050986167579121,0.989853211380643,-0.0059504876962103,1,FALSE,FALSE,FALSE,ns_both,-0.0110491044541224,0.0110491044541224
FBgn0037018,0.00699804682680878,0.976815563145522,-0.00390488390815062,1,FALSE,FALSE,FALSE,ns_both,-0.0109029307349594,0.0109029307349594
FBgn0261641,0.0104538436453498,0.976395501569482,-3.37831370992015e-4,1,FALSE,FALSE,FALSE,ns_both,-0.010791675016341816,0.010791675016341816
FBgn0052695,0.00459576871623142,0.997199907837077,-0.00603627847660969,1,FALSE,FALSE,FALSE,ns_both,-0.01063204719284111,0.01063204719284111
FBgn0037465,0.00427550303081131,0.978414134871713,-0.00629432033084371,1,FALSE,FALSE,FALSE,ns_both,-0.010569823361655021,0.010569823361655021
FBgn0029822,0.00558434704902589,0.982394262143529,-0.00482131058996492,1,FALSE,FALSE,FALSE,ns_both,-0.01040565763899081,0.01040565763899081
FBgn0260487,0.00237232576397944,0.994962576325872,-0.00786586703743067,1,FALSE,FALSE,FALSE,ns_both,-0.01023819280141011,0.01023819280141011
FBgn0266084,0.00768060401214773,0.982394262143529,-0.00219087975643738,1,FALSE,FALSE,FALSE,ns_both,-0.009871483768585109,0.009871483768585109
FBgn0028538,0.00655275976266914,0.982394262143529,-0.00326276580012095,1,FALSE,FALSE,FALSE,ns_both,-0.009815525562790089,0.009815525562790089
FBgn0052666,0.00811098465639475,0.972774364783951,-7.97525007521473e-4,1,FALSE,FALSE,FALSE,ns_both,-0.008908509663916223,0.008908509663916223
FBgn0036553,6.7240418823118e-4,0.997446248920654,-0.00790597127387069,1,FALSE,FALSE,FALSE,ns_both,-0.00857837546210187,0.00857837546210187
FBgn0002872,4.4635039328297e-4,0.998722189735822,-0.00804532613911701,1,FALSE,FALSE,FALSE,ns_both,-0.00849167653239998,0.00849167653239998
FBgn0033402,0.007712049670264,0.971356443805759,-2.92901774711796e-4,1,FALSE,FALSE,FALSE,ns_both,-0.008004951444975796,0.008004951444975796
FBgn0051040,0.00540941442583654,0.978833111585809,-0.00201105476258689,1,FALSE,FALSE,FALSE,ns_both,-0.00742046918842343,0.00742046918842343
FBgn0262719,0.00414687824273579,0.992771402178447,-0.0032532532492307,1,FALSE,FALSE,FALSE,ns_both,-0.007400131491966491,0.007400131491966491
FBgn0030869,0.00391604591363452,0.986654917431913,-0.00296127719039239,1,FALSE,FALSE,FALSE,ns_both,-0.00687732310402691,0.00687732310402691
FBgn0035968,0.00302156523843495,0.98995967750515,-0.00210582482644991,1,FALSE,FALSE,FALSE,ns_both,-0.00512739006488486,0.00512739006488486
