FBgn,logFC_Tutorial,qval_Tutorial,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0036999,-0.163697838911858,0.528481419806794,0.256073332142512,0.26412165472313,FALSE,FALSE,FALSE,ns_both,0.41977117105437,0.41977117105437
FBgn0024251,-0.127859627198573,0.52292998653804,0.28886687117882,0.982382742150268,FALSE,FALSE,FALSE,ns_both,0.41672649837739295,0.41672649837739295
FBgn0262813,0.413429547128463,0.759206918435656,0,1,FALSE,FALSE,FALSE,ns_both,-0.413429547128463,0.413429547128463
FBgn0040759,-0.375631455880131,0.863879610663885,0.0308350024640304,1,FALSE,FALSE,FALSE,ns_both,0.40646645834416145,0.40646645834416145
FBgn0259203,-0.403879241403364,0.0770509175627091,0,1,FALSE,FALSE,FALSE,ns_both,0.403879241403364,0.403879241403364
FBgn0033693,-0.402896994650332,0.34163183335797,0,1,FALSE,FALSE,FALSE,ns_both,0.402896994650332,0.402896994650332
FBgn0053964,-0.402896994650332,0.34163183335797,0,1,FALSE,FALSE,FALSE,ns_both,0.402896994650332,0.402896994650332
FBgn0050480,-0.402615928582844,0.66020912325672,0,1,FALSE,FALSE,FALSE,ns_both,0.402615928582844,0.402615928582844
FBgn0051104,0.294916076719842,0.765860269839963,-0.102448181318074,1,FALSE,FALSE,FALSE,ns_both,-0.397364258037916,0.397364258037916
FBgn0050018,0.299638612924004,0.816990605218532,-0.0942037396145032,1,FALSE,FALSE,FALSE,ns_both,-0.3938423525385072,0.3938423525385072
FBgn0029769,-0.209779271794237,0.892622972507044,0.183109890216074,1,FALSE,FALSE,FALSE,ns_both,0.392889162010311,0.392889162010311
FBgn0050360,0.0378754057252406,0.979765058623277,-0.354208494042931,0.947138739620403,FALSE,FALSE,FALSE,ns_both,-0.3920838997681716,0.3920838997681716
FBgn0260223,-0.390323709262793,0.0176261184924532,0,1,FALSE,FALSE,FALSE,ns_both,0.390323709262793,0.390323709262793
FBgn0036849,-0.191450149683637,0.918583215921261,0.198526537314839,1,FALSE,FALSE,FALSE,ns_both,0.389976686998476,0.389976686998476
FBgn0264817,-0.271856621790333,0.535796041200693,0.116114492468717,1,FALSE,FALSE,FALSE,ns_both,0.38797111425904995,0.38797111425904995
FBgn0002716,-0.0927724494062746,0.954462746796488,0.294624348575653,0.966035270416505,FALSE,FALSE,FALSE,ns_both,0.3873967979819276,0.3873967979819276
FBgn0027360,-0.387138212870565,0.0150369455372706,0,1,FALSE,FALSE,FALSE,ns_both,0.387138212870565,0.387138212870565
FBgn0028526,-0.244928339533048,0.906668883502884,0.139654582008944,1,FALSE,FALSE,FALSE,ns_both,0.38458292154199203,0.38458292154199203
FBgn0050284,0.381979708702056,0.779969430299047,0,1,FALSE,FALSE,FALSE,ns_both,-0.381979708702056,0.381979708702056
FBgn0083971,0.381875142112699,0.141291481495494,0,1,FALSE,FALSE,FALSE,ns_both,-0.381875142112699,0.381875142112699
FBgn0266439,-0.372891562366922,0.413417065501263,0,1,FALSE,FALSE,FALSE,ns_both,0.372891562366922,0.372891562366922
FBgn0052681,0.371983819642096,0.721363087318461,0,1,FALSE,FALSE,FALSE,ns_both,-0.371983819642096,0.371983819642096
FBgn0038033,0.369447742669916,0.711397802763297,0,1,FALSE,FALSE,FALSE,ns_both,-0.369447742669916,0.369447742669916
FBgn0027544,-0.366837443077114,0.0306924093478443,0,1,FALSE,FALSE,FALSE,ns_both,0.366837443077114,0.366837443077114
FBgn0035918,0.298106386926598,0.747858924014821,-0.0632618661376304,1,FALSE,FALSE,FALSE,ns_both,-0.36136825306422843,0.36136825306422843
FBgn0032240,-0.359336043265691,0.143382241899638,0,1,FALSE,FALSE,FALSE,ns_both,0.359336043265691,0.359336043265691
FBgn0052237,-0.279257107464348,0.818286534439684,0.0786338866632196,1,FALSE,FALSE,FALSE,ns_both,0.35789099412756764,0.35789099412756764
FBgn0011818,-0.203312284947164,0.314953487037676,0.153109488299705,0.597889711460323,FALSE,FALSE,FALSE,ns_both,0.35642177324686897,0.35642177324686897
FBgn0261843,0.354736456302726,0.856518644790913,0,1,FALSE,FALSE,FALSE,ns_both,-0.354736456302726,0.354736456302726
FBgn0250903,-0.353607376321491,0.67512333829312,0,1,FALSE,FALSE,FALSE,ns_both,0.353607376321491,0.353607376321491
FBgn0032149,0.0808588330303847,0.719155311104683,-0.271331772338352,0.37623986866593,FALSE,FALSE,FALSE,ns_both,-0.3521906053687367,0.3521906053687367
FBgn0011826,-0.0257503087765844,0.927798310755933,0.319732990834601,0.00844414003025288,FALSE,FALSE,FALSE,ns_both,0.3454832996111854,0.3454832996111854
FBgn0085302,0.345243934171851,0.593323960985107,0,1,FALSE,FALSE,FALSE,ns_both,-0.345243934171851,0.345243934171851
FBgn0263983,0.343855381338356,0.312159786738727,0,1,FALSE,FALSE,FALSE,ns_both,-0.343855381338356,0.343855381338356
